,id,lat,long,Center_lat,Center_long,DistanceM
0,7129300520,47.5112,-122.257,47.62023993864965,-122.34923129807153,18112
1,6414100192,47.721,-122.319,47.62023993864965,-122.34923129807153,14155
2,5631500400,47.7379,-122.233,47.62023993864965,-122.34923129807153,25519
3,2487200875,47.5208,-122.393,47.62023993864965,-122.34923129807153,17950
4,1954400510,47.6168,-122.045,47.62023993864965,-122.34923129807153,33624
5,7237550310,47.6561,-122.005,47.62023993864965,-122.34923129807153,34145
6,1321400060,47.3097,-122.327,47.62023993864965,-122.34923129807153,40857
7,2008000270,47.4095,-122.315,47.62023993864965,-122.34923129807153,26971
8,2414600126,47.5123,-122.337,47.62023993864965,-122.34923129807153,14031
9,3793500160,47.3684,-122.031,47.62023993864965,-122.34923129807153,49301
10,1736800520,47.6007,-122.145,47.62023993864965,-122.34923129807153,22342
11,9212900260,47.69,-122.292,47.62023993864965,-122.34923129807153,11446
12,114101516,47.7558,-122.229,47.62023993864965,-122.34923129807153,23443
13,6054650070,47.6127,-122.045,47.62023993864965,-122.34923129807153,33306
14,1175000570,47.67,-122.394,47.62023993864965,-122.34923129807153,8064
15,9297300055,47.5714,-122.375,47.62023993864965,-122.34923129807153,17817
16,1875500060,47.7277,-121.962,47.62023993864965,-122.34923129807153,40814
17,6865200140,47.6648,-122.343,47.62023993864965,-122.34923129807153,6195
18,16000397,47.3089,-122.21,47.62023993864965,-122.34923129807153,44676
19,7983200060,47.3343,-122.306,47.62023993864965,-122.34923129807153,36279
20,6300500875,47.7025,-122.341,47.62023993864965,-122.34923129807153,10167
21,2524049179,47.5316,-122.233,47.62023993864965,-122.34923129807153,19464
22,7137970340,47.3266,-122.169,47.62023993864965,-122.34923129807153,55158
23,8091400200,47.3533,-122.166,47.62023993864965,-122.34923129807153,40751
24,3814700200,47.3739,-122.172,47.62023993864965,-122.34923129807153,38867
25,1202000200,47.3048,-122.218,47.62023993864965,-122.34923129807153,47618
26,1794500383,47.6386,-122.36,47.62023993864965,-122.34923129807153,4272
27,3303700376,47.6221,-122.314,47.62023993864965,-122.34923129807153,3249
28,5101402488,47.695,-122.304,47.62023993864965,-122.34923129807153,10645
29,1873100390,47.7073,-122.11,47.62023993864965,-122.34923129807153,30110
30,8562750320,47.5391,-122.07,47.62023993864965,-122.34923129807153,31443
31,2426039314,47.7274,-122.357,47.62023993864965,-122.34923129807153,13440
32,461000390,47.6823,-122.368,47.62023993864965,-122.34923129807153,8571
33,7589200193,47.6889,-122.375,47.62023993864965,-122.34923129807153,9253
34,7955080270,47.4276,-122.157,47.62023993864965,-122.34923129807153,33158
35,9547205180,47.6827,-122.31,47.62023993864965,-122.34923129807153,9326
36,9435300030,47.6621,-122.132,47.62023993864965,-122.34923129807153,22550
37,2768000400,47.6702,-122.362,47.62023993864965,-122.34923129807153,6819
38,7895500070,47.3341,-122.282,47.62023993864965,-122.34923129807153,37000
39,2078500320,47.5301,-122.18,47.62023993864965,-122.34923129807153,25688
40,5547700270,47.6145,-122.027,47.62023993864965,-122.34923129807153,35137
41,7766200013,47.445,-122.347,47.62023993864965,-122.34923129807153,22930
42,7203220400,47.6848,-122.016,47.62023993864965,-122.34923129807153,33776
43,9270200160,47.6413,-122.364,47.62023993864965,-122.34923129807153,4536
44,1432701230,47.4485,-122.175,47.62023993864965,-122.34923129807153,29351
45,8035350320,47.7443,-121.977,47.62023993864965,-122.34923129807153,41360
46,8945200830,47.3066,-122.371,47.62023993864965,-122.34923129807153,44223
47,4178300310,47.6194,-122.151,47.62023993864965,-122.34923129807153,19334
48,9215400105,47.6796,-122.301,47.62023993864965,-122.34923129807153,10405
49,822039084,47.4041,-122.451,47.62023993864965,-122.34923129807153,36970
50,5245600105,47.4258,-122.322,47.62023993864965,-122.34923129807153,23996
51,7231300125,47.4934,-122.189,47.62023993864965,-122.34923129807153,28508
52,7518505990,47.6808,-122.384,47.62023993864965,-122.34923129807153,8819
53,3626039271,47.6989,-122.369,47.62023993864965,-122.34923129807153,10511
54,4217401195,47.6571,-122.281,47.62023993864965,-122.34923129807153,8872
55,9822700295,47.6597,-122.29,47.62023993864965,-122.34923129807153,8154
56,9478500640,47.3663,-122.114,47.62023993864965,-122.34923129807153,44446
57,2799800710,47.3663,-122.122,47.62023993864965,-122.34923129807153,44002
